  BODEN03.MOD: offset = 14ed186, length = 025410, extra = 0011
  BODEN03.ACT: offset = 14f34c8, length = 000735, extra = 0011
 FRONTS01.MOD: offset = 14f37a7, length = 046710, extra = 0011
 FRONTS01.ACT: offset = 14fee1d, length = 000929, extra = 0011
 FRONTS02.MOD: offset = 14ff1be, length = 015040, extra = 0011
 FRONTS02.ACT: offset = 1502c7e, length = 001177, extra = 0011
 FRONTS03.MOD: offset = 1503117, length = 018171, extra = 0011
   TANK04.ACT: offset = 1507812, length = 000584, extra = 0011
   TANK05.MOD: offset = 1507a5a, length = 037778, extra = 0011
   TANK05.ACT: offset = 1510dec, length = 000445, extra = 0011
   STRECKE.C8: offset = 1510fa9, length = 000333, extra = 0011
  HUTZE12.ACT: offset = 15110f6, length = 000439, extra = 0011
  HUTZE13.MOD: offset = 15112ad, length = 011640, extra = 0011
  HUTZE13.ACT: offset = 1514025, length = 000439, extra = 0011
  HUTZE14.MOD: offset = 15141dc, length = 021657, extra = 0011
  HUTZE14.ACT: offset = 1519675, length = 000424, extra = 0011
  HUTZE15.MOD: offset = 151981d, length = 012106, extra = 0011
  HUTZE15.ACT: offset = 151c767, length = 000445, extra = 0011
 MONOCO03.MOD: offset = 151c924, length = 098852, extra = 0011
  HUTZE04.ACT: offset = 1534b48, length = 000445, extra = 0011
  HUTZE05.MOD: offset = 1534d05, length = 030803, extra = 0011
  HUTZE05.ACT: offset = 153c558, length = 000424, extra = 0011
  HUTZE06.MOD: offset = 153c700, length = 026867, extra = 0011
  HUTZE06.ACT: offset = 1542ff3, length = 000424, extra = 0011
  HUTZE07.MOD: offset = 154319b, length = 024708, extra = 0011
  HUTZE07.ACT: offset = 154921f, length = 000424, extra = 0011
  HUTZE08.MOD: offset = 15493c7, length = 032624, extra = 0011
 HECKSP07.ACT: offset = 1551337, length = 000445, extra = 0011
  HUTZE01.MOD: offset = 15514f4, length = 057919, extra = 0011
  HUTZE01.ACT: offset = 155f733, length = 000439, extra = 0011
  HUTZE02.MOD: offset = 155f8ea, length = 052858, extra = 0011
  HUTZE02.ACT: offset = 156c764, length = 000445, extra = 0011
  HUTZE03.MOD: offset = 156c921, length = 048208, extra = 0011
  HUTZE03.ACT: offset = 1578571, length = 000445, extra = 0011
  HUTZE04.MOD: offset = 157872e, length = 028440, extra = 0011
 HECKSP03.ACT: offset = 157f646, length = 000445, extra = 0011
 HECKSP04.MOD: offset = 157f803, length = 048138, extra = 0011
 HECKSP04.ACT: offset = 158b40d, length = 000445, extra = 0011
 HECKSP05.MOD: offset = 158b5ca, length = 012730, extra = 0011
 HECKSP05.ACT: offset = 158e784, length = 000445, extra = 0011
 HECKSP06.MOD: offset = 158e941, length = 012876, extra = 0011
 HECKSP06.ACT: offset = 1591b8d, length = 000445, extra = 0011
 HECKSP07.MOD: offset = 1591d4a, length = 021826, extra = 0011
